30	0	1	2	1	4	2	0	0	0	0	0	33	0	0	2	0	3	20	3	0	0	1	0	0	0	15	2	2	38	3	2	1	11	1	1	0	0	2	19	2	0	0	3	1	0	0	11	2	78
23	1	2	4	0	0	0	0	0	0	0	0	21	1	0	2	0	2	14	0	2	0	1	1	0	0	10	3	4	19	2	2	0	8	0	3	0	0	3	1	2	0	1	3	1	0	2	8	0	85.2
6	1	0	0	3	1	2	28	35	0	2	0	3	0	0	1	0	0	4	0	0	0	4	2	0	0	1	31	3	3	3	5	0	10	0	6	29	0	1	12	2	1	1	0	0	0	2	11	1	78.4
7	1	1	3	3	2	8	18	27	0	1	0	9	0	0	1	0	2	10	2	0	0	2	1	0	0	1	11	0	4	5	0	5	13	0	10	21	0	0	11	2	0	0	0	0	0	1	6	1	80.9
7	1	1	3	3	2	8	18	27	0	1	0	9	0	0	1	0	2	10	2	0	0	2	1	0	0	1	11	0	4	5	0	5	13	0	10	21	0	0	11	2	0	0	0	0	0	1	6	1	80.9
0	1	0	1	0	1	8	46	24	0	0	0	1	1	0	1	0	3	1	0	0	0	5	1	0	0	3	26	2	3	5	4	2	2	0	17	58	0	0	10	2	1	0	0	0	0	3	5	1	76
21	4	1	6	2	2	5	0	1	0	1	0	7	4	0	2	0	2	27	0	70	0	3	5	0	0	10	7	1	22	8	3	1	9	0	3	0	0	2	3	2	1	1	0	1	0	1	3	0	75.7
0	10	0	4	1	2	12	0	0	9	3	2	0	17	0	1	0	3	2	0	0	0	3	4	0	2	1	0	1	0	0	0	5	5	11	4	0	0	2	0	3	4	4	0	2	1	0	3	6	87.1
0	4	1	3	1	4	22	5	1	2	2	1	0	0	0	1	0	2	3	0	0	1	3	8	0	2	1	1	1	0	4	3	17	0	6	7	4	0	2	8	2	1	3	0	2	1	3	4	4	85.8
0	4	8	6	14	3	3	0	0	4	6	3	0	5	1	4	0	1	1	0	0	4	4	0	0	0	0	0	1	0	0	4	4	1	21	2	0	2	4	0	3	5	0	0	3	1	3	0	4	86.9
0	8	7	5	3	2	4	0	0	6	4	0	0	3	0	2	0	2	0	3	0	3	0	3	0	0	1	1	1	0	0	2	15	5	22	3	0	3	3	0	2	5	0	0	2	3	6	3	1	86.5
0	10	5	5	6	2	6	0	0	2	1	1	0	3	0	2	0	3	0	1	0	1	2	0	0	2	1	0	1	1	0	3	5	13	16	4	0	0	7	1	0	4	2	0	1	1	1	5	1	87.9
0	3	15	2	10	0	9	0	0	7	0	2	0	2	0	1	0	2	4	1	0	7	4	1	0	1	0	0	0	0	1	1	5	6	27	6	0	4	0	1	2	4	0	0	1	4	1	5	4	85.5
1	4	8	14	4	0	2	0	0	5	4	2	0	3	0	3	0	4	2	0	0	1	2	4	0	1	0	0	3	0	0	4	8	12	22	6	0	1	2	1	2	5	1	0	4	0	2	3	2	85.6
