0	16	0	3	7	23	6	7	12	23	6	9	15	6	7
0	16	0	3	6	16	5	10	21	17	4	12	7	11	12
2	11	3	4	8	6	2	13	23	12	10	11	19	6	4
1	22	3	7	10	21	3	15	9	19	8	7	9	3	3
1	22	3	7	10	21	3	15	9	19	8	7	9	3	3
0	25	1	5	15	11	2	15	11	15	9	5	10	2	7
7	11	2	7	20	12	10	15	34	14	0	8	10	7	7
1	8	1	8	8	6	11	14	18	7	1	5	7	5	6
4	18	0	11	13	32	15	22	19	39	8	0	4	31	22
4	2	0	3	6	5	15	10	0	17	0	0	2	4	10
0	10	0	4	2	4	7	10	10	15	3	14	8	7	8
0	0	0	16	15	17	12	21	16	27	4	2	6	4	13
4	5	0	8	1	7	5	10	9	6	4	11	8	0	11
6	2	0	10	6	23	31	46	8	30	5	2	25	23	34
4	17	0	17	29	26	16	19	39	28	16	0	6	2	10
3	13	0	18	30	26	13	33	15	19	16	0	8	11	7
1	8	4	14	18	31	14	35	24	29	17	0	18	14	11
11	13	2	9	14	32	9	20	27	47	17	0	6	6	18
2	0	0	0	0	10	8	10	10	19	0	0	0	6	3
4	0	0	0	6	9	8	1	8	12	0	0	0	0	2
0	23	0	3	0	14	33	9	21	39	14	0	8	27	40
0	9	0	3	1	3	18	13	2	20	2	2	11	13	35
13	33	8	29	11	20	1	15	32	7	8	42	62	2	6
11	35	2	15	19	10	4	5	30	1	10	85	59	5	0
2	3	0	9	4	15	29	21	6	24	25	0	2	28	7
8	0	0	10	9	9	18	47	2	33	21	0	0	35	14
5	4	0	0	2	12	51	7	17	39	16	0	0	19	46
18	12	0	0	0	11	56	7	8	21	47	3	0	31	31
9	4	0	4	3	13	28	22	8	30	13	0	6	26	32
13	15	13	8	6	8	11	5	12	6	0	35	36	4	12
11	27	11	6	19	12	5	8	15	11	4	52	37	2	6
11	38	13	11	13	23	9	16	19	11	3	68	51	2	5
9	32	6	5	12	22	2	5	39	10	0	32	55	3	8
2	1	0	1	1	3	0	0	3	2	0	0	0	1	2
4	0	2	2	0	2	4	3	2	2	3	1	3	3	1
0	1	0	2	3	0	0	0	0	0	1	0	0	4	0
2	2	0	1	0	0	4	0	0	1	1	1	1	8	3
1	1	0	6	10	9	3	7	0	12	1	0	0	1	2
0	2	0	0	1	1	2	2	2	0	1	0	0	3	0
1	0	0	2	0	1	0	10	1	2	0	0	0	1	1
12	0	0	2	0	2	33	0	0	3	42	3	0	89	5
26	8	0	0	0	0	39	8	0	4	40	0	2	75	9
20	14	0	0	0	2	29	4	8	8	53	4	14	101	8
37	1	0	0	0	4	43	1	0	8	30	0	0	101	15
52	22	0	4	2	9	36	9	2	8	48	4	12	28	9
39	6	2	0	1	0	19	2	0	1	88	20	8	94	1
24	12	0	4	1	3	16	10	2	9	55	8	9	91	14
17	18	0	0	0	2	43	14	7	16	16	4	8	54	13
19	0	0	14	0	4	35	10	0	18	43	0	0	58	9
34	8	0	0	0	0	66	0	0	7	67	10	14	71	11
